Timestamp, Sensor,QuatI,QuatJ,QuatK,QuatSum
0.0,0,-4.3296372853596765e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,1,-0.0071802756874038,-0.6801539084999039,0.5591822288124036,-0.473977150687404
0.0,2,-0.48735521370127166,-0.5739030652637718,0.49419115120127155,-0.43462083870127177
0.003,3,-0.48419501473476945,-0.5742829053597696,0.5565827100472694,-0.35492255379726956
0.004,4,-0.5220172055529537,-0.5896441586779537,0.4485919125842035,-0.4225909360217038
0.004,5,-0.5641688222441168,-0.5037440175566167,0.47176159568161663,-0.45320690818161674
0.034,0,-4.3296372853596765e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.034,1,-0.007061731243033201,-0.6801574343680333,0.5591247195242832,-0.47404171171178333
0.034,2,-0.4873738826999316,-0.5741658748874316,0.4939046444186815,-0.4345784725436817
0.041,3,-0.484113194071841,-0.5745672956343411,0.556256748759341,-0.3550848737593411
0.041,4,-0.5218212999963414,-0.5903027453088414,0.4479077257775912,-0.4226391710900914
0.041,5,-0.5639631763651393,-0.5040266529276392,0.4714338794901391,-0.4534895435526393
0.068,0,-4.3296372853596765e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.068,1,-0.007061731243033201,-0.6801574343680333,0.5591247195242832,-0.47404171171178333
0.068,2,-0.4874902434295146,-0.5742212004607646,0.4938378996795144,-0.4344506926482647
0.072,3,-0.4840849579667549,-0.5745390595292549,0.5562895478105048,-0.3551176728105049
0.072,4,-0.5218617153990992,-0.5905262661803492,0.447642965399099,-0.4225575161803492
0.072,5,-0.5639338504443644,-0.5040583621631143,0.47140455356936417,-0.45352125278811434
0.1,0,-4.3296372853596765e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.1,1,-0.007115533615529,-0.6799670961155292,0.5593616273655291,-0.4740344789280293
0.1,2,-0.4879675120766008,-0.5735388011391008,0.4944372386391006,-0.4341345042641009
0.103,3,-0.4842186328545794,-0.5741234180108294,0.5567894336358293,-0.3548241016045795
0.103,4,-0.5220359479958263,-0.5901511823708263,0.4480003034645761,-0.4224876081520763
0.103,5,-0.5639625015586935,-0.5039649429649435,0.4716773453086934,-0.45330576327744354
0.141,0,-4.3296372853596765e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.141,1,-0.0073696452143343,-0.6797329264643344,0.5597378092768341,-0.4739223795893343
