Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,23415,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,23415,1,-0.00718027568740387,-0.6801539084999039,0.5591822288124036,-0.473977150687404
0.0,23415,2,-0.48735521370127166,-0.5739030652637717,0.49419115120127155,-0.43462083870127177
0.003,23418,3,-0.48419501473476945,-0.5742829053597694,0.5565827100472693,-0.35492255379726956
0.004,23418,4,-0.5220172055529537,-0.5896441586779537,0.44859191258420356,-0.4225909360217038
0.004,23418,5,-0.5641688222441167,-0.5037440175566166,0.4717615956816166,-0.45320690818161674
0.034,23449,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.034,23449,1,-0.007061731243033276,-0.6801574343680332,0.5591247195242831,-0.47404171171178333
0.034,23449,2,-0.48737388269993165,-0.5741658748874316,0.4939046444186815,-0.4345784725436817
0.041,23457,3,-0.48411319407184106,-0.5745672956343411,0.556256748759341,-0.3550848737593411
0.041,23457,4,-0.5218212999963414,-0.5903027453088414,0.44790772577759125,-0.42263917109009147
0.041,23457,5,-0.5639631763651393,-0.5040266529276392,0.47143387949013915,-0.4534895435526393
0.068,23483,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.068,23483,1,-0.007061731243033276,-0.6801574343680332,0.5591247195242831,-0.47404171171178333
0.068,23483,2,-0.48749024342951464,-0.5742212004607646,0.49383789967951447,-0.4344506926482647
0.072,23486,3,-0.4840849579667549,-0.5745390595292549,0.5562895478105048,-0.35511767281050494
0.072,23486,4,-0.5218617153990992,-0.5905262661803492,0.44764296539909904,-0.42255751618034926
0.072,23486,5,-0.5639338504443643,-0.5040583621631142,0.47140455356936417,-0.45352125278811434
0.1,23514,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.1,23514,1,-0.007115533615529079,-0.6799670961155292,0.5593616273655291,-0.4740344789280293
0.1,23514,2,-0.48796751207660083,-0.5735388011391008,0.49443723863910066,-0.4341345042641009
0.103,23519,3,-0.48421863285457944,-0.5741234180108294,0.5567894336358293,-0.3548241016045795
0.103,23519,4,-0.5220359479958263,-0.5901511823708263,0.44800030346457614,-0.42248760815207637
0.103,23519,5,-0.5639625015586934,-0.5039649429649434,0.4716773453086933,-0.45330576327744354
0.141,23550,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.141,23550,1,-0.007369645214334364,-0.6797329264643344,0.5597378092768341,-0.47392237958933436
0.141,23550,2,-0.48843616933603373,-0.5729088255860337,0.49515003652353357,-0.4336265990235338
0.142,23557,3,-0.4845747748651923,-0.5735640326776923,0.5574507514276922,-0.35420368111519235
