Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,20846,0,0.13577624106523914,-0.6907909948209854,0.7032206062090302,0.0992642576128576
0.001,20846,1,-0.5617309101889352,-0.48165278518893523,-0.12088627731106485,-0.6617064961264354
0.001,20846,2,-0.7009214369462757,0.4316469224287244,0.08855571429002575,-0.560845753352526
0.006,20851,3,-0.5720071173290665,0.5410299920459335,-0.23121553892093338,-0.5715188360790666
0.006,20851,4,-0.6639161395994264,0.3976683330568236,-0.2588743877443235,-0.5779786395994265
0.007,20851,5,0.16331710644039787,-0.7674079912158521,0.495740510747102,0.372362516596648
0.035,20880,0,0.13581939943811425,-0.6907898630788096,0.7032194744668544,0.09922109923998244
0.035,20880,1,-0.5616868581948922,-0.4816697683511422,-0.12093032930510786,-0.6617234792886424
0.035,20880,2,-0.7009246079847691,0.43158271623398087,0.08843681501601919,-0.5609099595472693
0.036,20881,3,-0.5719360740653516,0.5409179298408984,-0.2312255470283983,-0.5716919334403517
0.036,20881,4,-0.6638929728237855,0.3975083943637147,-0.2589585896762146,-0.5780775431362856
0.036,20881,5,0.1634729433402035,-0.7672521543160464,0.4961339902535463,0.3720911074027036
0.073,20915,0,0.13581939943811425,-0.6907898630788096,0.7032194744668544,0.09922109923998244
0.073,20915,1,-0.5616868581948922,-0.4816697683511422,-0.12093032930510786,-0.6617234792886424
0.073,20915,2,-0.7008242633799416,0.43149995537005836,0.08833647041119175,-0.5611147907236919
0.074,20919,3,-0.571920829021693,0.540750069415807,-0.23124079207205694,-0.5718597938654431
0.074,20919,4,-0.6637680247137124,0.39751127216128757,-0.25914457294253745,-0.5781357004949625
0.074,20919,5,0.16363753723543342,-0.7670265252645666,0.49639664245206644,0.37213363098543356
0.107,20952,0,0.13586255781098944,-0.6907887286624352,0.70321834005048,0.0991779408671073
0.107,20952,1,-0.5616868581948922,-0.4816697683511422,-0.12093032930510786,-0.6617234792886424
0.107,20952,2,-0.7007724902118928,0.4311855176006073,0.08828469724314282,-0.561429228493143
0.107,20953,3,-0.5717124888052081,0.5407142690072919,-0.23144913228854175,-0.5720176645864583
0.107,20953,4,-0.6637258808020801,0.39730927544791994,-0.2592477520104199,-0.5782766620520802
0.107,20953,5,0.16364235484686313,-0.7668386021843868,0.4966359654656367,0.37219948375311324
0.135,20980,0,0.13599203292961487,-0.6907417648369297,0.7032576929707247,0.09904846574848182
0.135,20980,1,-0.5616868581948922,-0.4816697683511422,-0.12093032930510786,-0.6617234792886424
0.135,20980,2,-0.7006686786909497,0.4308620830278004,0.08824192087844974,-0.5618136982222
0.137,20982,3,-0.5715192985153434,0.5408464241409066,-0.23164232257840647,-0.5720075797653436
0.137,20982,4,-0.663669248169471,0.39718280261177896,-0.25930438464302885,-0.5784031348882213
0.137,20982,5,0.16359705079042058,-0.7667618359283294,0.49680333983457925,0.3721541796966707
0.166,21011,0,0.13599203292961487,-0.6907417648369297,0.7032576929707247,0.09904846574848182
