Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,38586,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,38586,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.0,38586,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.0,38587,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,38587,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,38587,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.031,38617,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.031,38617,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.031,38617,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.031,38618,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.032,38618,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.032,38618,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.066,38652,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.066,38652,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.066,38652,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.067,38653,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.067,38653,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.067,38653,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.1,38686,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.1,38686,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.1,38686,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.102,38687,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.102,38687,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.102,38687,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.131,38716,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.131,38716,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.131,38716,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.132,38718,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.132,38718,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.132,38718,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.167,38753,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.167,38753,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.167,38753,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.168,38754,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.168,38754,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.168,38754,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.198,38784,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.198,38784,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.198,38784,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.198,38785,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.198,38785,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.2,38785,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.231,38817,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.232,38817,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.232,38817,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.232,38819,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.233,38819,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.233,38819,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.267,38853,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.267,38853,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.268,38853,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.268,38854,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.268,38854,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.269,38854,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.298,38884,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.298,38884,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.298,38884,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.3,38885,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.3,38885,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.3,38885,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.332,38918,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.332,38918,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.332,38918,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.336,38919,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.337,38919,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.337,38919,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.368,38953,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.368,38953,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.368,38953,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.369,38955,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.369,38955,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.369,38955,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.408,38990,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.409,38990,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.409,38990,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.409,38995,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.409,38995,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.409,38995,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.432,39018,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.432,39018,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.432,39018,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.433,39019,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.433,39019,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.433,39019,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.469,39056,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.469,39056,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.469,39056,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.471,39057,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.471,39057,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.471,39057,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.5,39084,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.5,39084,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.5,39084,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.501,39087,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.501,39087,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.501,39087,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
