Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,18405,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,18405,1,0.10081561712887221,-0.7820579180273779,0.4009544024023777,-0.46632305474612784
0.0,18405,2,-0.02587774671747234,-0.7691638795299723,0.6381213990612222,0.022767272813777665
0.0,18416,3,-0.1616203355486513,-0.6989738511736513,0.6450187730486512,-0.26318283554865135
0.001,18416,4,-0.1337714695557573,-0.7314277195557572,0.6587958836182571,-0.11448436018075736
0.001,18416,5,-0.2251750834606974,-0.6920940287731975,0.6607829936169473,-0.18348807174194745
0.024,18439,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.024,18439,1,0.10076641364511585,-0.7820460863548843,0.40100360588613404,-0.4663112230736342
0.025,18439,2,-0.026022219094316956,-0.7691862815943169,0.6380827659693169,0.022927976218183047
0.026,18440,3,-0.16158713371669192,-0.6990016844979419,0.6449855712166918,-0.263210668872942
0.026,18440,4,-0.13383178397176496,-0.731426998815515,0.6587951628780149,-0.114422604284265
0.026,18440,5,-0.225205420224107,-0.692063330380357,0.6608133303803568,-0.18345737334910706
0.058,18472,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.058,18472,1,0.10073895956938589,-0.7819514701181141,0.4010920951181139,-0.4663997123056141
0.059,18472,2,-0.026022219094316956,-0.7691862815943169,0.6380827659693169,0.022927976218183047
0.065,18480,3,-0.1615225897348603,-0.6989981756723603,0.6449820623911102,-0.2632681952036104
0.065,18480,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.065,18480,5,-0.22511549058992886,-0.6920954710586789,0.6607844359024286,-0.1835505491836789
0.094,18509,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.095,18509,1,0.1007649180185839,-0.7817424062001662,0.401310277293916,-0.46655685932516616
0.095,18509,2,-0.026172330692526724,-0.7691532877237768,0.6381108072550266,0.02308304040122328
0.096,18512,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.096,18512,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.096,18512,5,-0.22496594692126132,-0.6921290328587613,0.6607569625462612,-0.18370618129626137
0.124,18539,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.124,18539,1,0.1007649180185839,-0.7817424062001662,0.401310277293916,-0.46655685932516616
0.124,18539,2,-0.026231231600933158,-0.7691511534759332,0.638108673007183,0.023146209805316845
0.126,18542,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.126,18542,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.126,18542,5,-0.22496594692126132,-0.6921290328587613,0.6607569625462612,-0.18370618129626137
0.158,18572,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.158,18572,1,0.1007649180185839,-0.7817424062001662,0.401310277293916,-0.46655685932516616
0.158,18572,2,-0.026231231600933158,-0.7691511534759332,0.638108673007183,0.023146209805316845
0.164,18579,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.165,18579,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.166,18579,5,-0.22496594692126132,-0.6921290328587613,0.6607569625462612,-0.18370618129626137
0.201,18616,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.201,18616,1,0.1007649180185839,-0.7817424062001662,0.401310277293916,-0.46655685932516616
0.201,18616,2,-0.026231231600933158,-0.7691511534759332,0.638108673007183,0.023146209805316845
0.203,18617,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.203,18617,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.203,18617,5,-0.22484563820866,-0.69219182961491,0.6606976889899099,-0.18383001320866005
0.224,18638,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.225,18638,1,0.1007649180185839,-0.7817424062001662,0.401310277293916,-0.46655685932516616
0.225,18638,2,-0.02620461667538371,-0.7691245385503839,0.6381430932378837,0.0231117895746163
0.228,18642,3,-0.1614893836529888,-0.6990260047467388,0.6449488563092387,-0.26329602427798887
0.228,18642,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.228,18642,5,-0.22460605487123136,-0.6922574220587314,0.6606412111212312,-0.18407871112123142
0.258,18673,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.258,18673,1,0.10073329284470561,-0.7817740313740444,0.40121983215529416,-0.4665884844990444
0.259,18673,2,-0.026193269147484655,-0.7692352613349847,0.6380096753974845,0.02312313710251535
0.276,18680,3,-0.1614893836529888,-0.6990260047467388,0.6449488563092387,-0.26329602427798887
0.276,18680,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.276,18680,5,-0.22460605487123136,-0.6922574220587314,0.6606412111212312,-0.18407871112123142
0.294,18710,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.295,18710,1,0.10073329284470561,-0.7817740313740444,0.40121983215529416,-0.4665884844990444
0.295,18710,2,-0.026457449957052015,-0.769255301519552,0.6379686804258019,0.02328620238669799
0.295,18711,3,-0.1616203355486513,-0.6989738511736513,0.6450187730486512,-0.26318283554865135
0.296,18711,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.296,18711,5,-0.2246960437528428,-0.6922253406278428,0.6606701648465927,-0.18398559453409286
0.323,18739,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.324,18739,1,0.10064990441356403,-0.7817963846489361,0.40124218543018586,-0.466549802617686
0.324,18739,2,-0.02657520434343802,-0.769250985593438,0.637964364499688,0.023412588625311984
0.326,18742,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.326,18742,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
0.326,18742,5,-0.2247556662557104,-0.6922239279744604,0.6606687521932103,-0.18392314672446045
0.359,18774,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.359,18774,1,0.10064990441356403,-0.7817963846489361,0.40124218543018586,-0.466549802617686
0.361,18774,2,-0.02657520434343802,-0.769250985593438,0.637964364499688,0.023412588625311984
0.365,18781,3,-0.1615557936942526,-0.6989703444755027,0.6450152663505025,-0.26324036400675266
0.365,18781,4,-0.1337111505912364,-0.7314284357474864,0.6587965998099863,-0.11454611152873645
