Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,19511,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,19511,1,0.08944938888545978,-0.6889319587707903,0.31936408767704005,-0.6444983650207903
0.0,19511,2,-0.13100058432914422,-0.6574898421416443,0.7418404280791441,-0.014789646829144259
0.004,19515,3,-0.37791643463309976,-0.5215931924455998,0.6861439736955997,-0.3381215127580999
0.004,19515,4,-0.6474277694938986,-0.03573343355639859,0.11868021090014852,-0.7519809921501488
0.005,19515,5,0.07955422073855017,-0.6346181425426998,0.6997426542614497,0.31826271683230023
0.032,19542,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.032,19542,1,0.0894117596156846,-0.6889695880405654,0.31934068179056524,-0.6444749591343155
0.032,19542,2,-0.13099724989748335,-0.6574254725537334,0.7418981288037332,-0.014786312397483417
0.034,19546,3,-0.37791643463309976,-0.5215931924455998,0.6861439736955997,-0.3381215127580999
0.035,19546,4,-0.6474277694938986,-0.03573343355639859,0.11868021090014852,-0.7519809921501488
0.035,19546,5,0.07959546369726428,-0.6346989698964858,0.6997014113027356,0.31818188947851433
0.068,19579,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.068,19579,1,0.0892971451118923,-0.6890231673881078,0.31927219082560754,-0.6444675033256078
0.068,19579,2,-0.13098721749675757,-0.6572323346842576,0.7420712018717575,-0.014776279996757638
0.07,19581,3,-0.3779721522739917,-0.5212826991489917,0.6863217616489916,-0.3381772303989919
0.07,19581,4,-0.6472041753208453,-0.0356319096958453,0.11863972219584523,-0.7521846440708455
0.07,19581,5,0.0794054297637013,-0.6345227928925486,0.6998304100800485,0.31829703132620135
0.098,19608,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.098,19608,1,0.08904304543872743,-0.6891551967487726,0.3190380092487724,-0.6444774623737726
0.098,19608,2,-0.13101259334884652,-0.6571966753800965,0.7420965777238464,-0.014862691005096587
0.101,19612,3,-0.3779721522739917,-0.5212826991489917,0.6863217616489916,-0.3381772303989919
0.102,19612,4,-0.6472318575485224,-0.03553752161102243,0.11872843957977236,-0.7521512911422725
0.102,19612,5,0.07925241852248155,-0.6344926986650185,0.6998613510087683,0.3183271255537316
0.13,19640,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.13,19640,1,0.08874807842819327,-0.6896332692280569,0.3186005543843067,-0.6442231129780569
0.13,19640,2,-0.1308731363551288,-0.6572403238551289,0.7420791910426286,-0.015028409792628832
0.136,19647,3,-0.37779224390546373,-0.5214079665617137,0.6862639235929636,-0.33830249781171373
0.136,19647,4,-0.6472355773912388,-0.03578538207873884,0.11861008910998877,-0.752155010984989
0.136,19647,5,0.07929362659004557,-0.6345735609099544,0.6998201429412043,0.31824626330879563
0.167,19677,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.167,19677,1,0.08838869858021614,-0.6901147193885339,0.3182885475135337,-0.643911106107284
0.167,19677,2,-0.13067837426921208,-0.6572897023942121,0.7420675344254619,-0.015138823487962152
0.171,19681,3,-0.37753681554336715,-0.5213356436683672,0.686374706168367,-0.33847431554336727
0.171,19681,4,-0.647000238328078,-0.03597728910932803,0.11861889067182796,-0.7523469180155782
0.171,19681,5,0.0794720235139671,-0.6343341288297829,0.7001300272672828,0.31799741413896715
0.198,19708,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.198,19708,1,0.08806781612490204,-0.6905576721563481,0.31775493778134783,-0.6437437073125981
0.198,19708,2,-0.13052901223255636,-0.6570793052013064,0.7422843833263062,-0.014928426295056432
0.199,19710,3,-0.3771773468668149,-0.5212203156168149,0.6866866242105648,-0.3384200226480649
0.199,19710,4,-0.6467058556506056,-0.036171187681855635,0.11893485955685557,-0.7525408165881058
0.199,19710,5,0.07965052076569312,-0.6340945964218069,0.7001346354843068,0.3184200520156932
0.234,19746,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.234,19746,1,0.08785967026555536,-0.6912540992656947,0.3168644508281945,-0.6434635719219447
0.235,19746,2,-0.1299391795241787,-0.6570387888991788,0.7424269724929285,-0.014765839680428732
0.237,19749,3,-0.37691481042347585,-0.5213239901109759,0.6868513338609757,-0.33821852136097585
0.237,19749,4,-0.6466479869638383,-0.03672367055758831,0.11906009633883824,-0.7525439830575884
0.237,19749,5,0.08002739000198095,-0.634022902966769,0.7001239771855189,0.318491745470731
0.267,19778,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.267,19778,1,0.08746674488263889,-0.6918301301173612,0.31628081371111094,-0.6431851105861112
0.267,19778,2,-0.12988386200023236,-0.6570445065314824,0.7424326901252323,-0.014710522156482402
0.268,19780,3,-0.37687646860322876,-0.5213466834469788,0.6868740271969787,-0.3381801795407289
0.268,19780,4,-0.6465986439822201,-0.036918468200970056,0.11919385882596997,-0.7525556752322201
0.269,19780,5,0.08011874828446874,-0.6339315446842813,0.700154689215531,0.3185831037532188
0.299,19811,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.299,19811,1,0.08727953979675351,-0.6920173352032465,0.3161628430157463,-0.6430671398907466
0.299,19811,2,-0.129798610407347,-0.6570202900948471,0.7424695088448469,-0.014686305719847042
0.306,19817,3,-0.3769792952175163,-0.5215105452175163,0.6867327131862662,-0.3380999006862664
0.306,19817,4,-0.6466018704033772,-0.03698272977837726,0.11913605009087719,-0.7525589016533774
0.306,19817,5,0.08015991095928893,-0.634012452321961,0.7001135265407109,0.318502196115539
0.335,19846,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.335,19846,1,0.08723804699199206,-0.691570546758008,0.3165705467580078,-0.643352773320508
0.335,19846,2,-0.13011197871541474,-0.6570895177779148,0.7423556310591646,-0.014572427934164814
0.337,19848,3,-0.37725224448450945,-0.5214172835470094,0.6866394515157593,-0.33812870932825956
0.337,19848,4,-0.6467095716487061,-0.0364800794612062,0.11918271617995613,-0.7524834974299563
0.337,19848,5,0.07979105903303052,-0.6341981987794695,0.6999330620607194,0.3186216254392806
0.367,19878,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.367,19878,1,0.08705069428713091,-0.6913916885253691,0.3168799697753689,-0.6434180557128691
