Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,9520,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,9520,1,-0.34960235380300353,-0.5880056741155035,0.16069854520925336,-0.7114797952092535
0.0,9520,2,-0.7310497746212858,0.048613311316214276,-0.07736086990996423,-0.676179169152536
0.002,9522,3,-0.6978614199660389,0.1079857480027111,0.0507666934035389,-0.706223236372289
0.002,9522,4,-0.738862183604947,-0.036591675792446876,-0.07388195702005314,-0.668793824229947
0.002,9522,5,-0.7271312994429389,-0.12874262756793878,0.12636225647418872,-0.662372998661689
0.033,9553,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.033,9553,1,-0.34960235380300353,-0.5880056741155035,0.16069854520925336,-0.7114797952092535
0.034,9553,2,-0.7310497746212858,0.048613311316214276,-0.07736086990996423,-0.676179169152536
0.037,9557,3,-0.6978614199660389,0.1079857480027111,0.0507666934035389,-0.706223236372289
0.038,9557,4,-0.738862183604947,-0.036591675792446876,-0.07388195702005314,-0.668793824229947
0.038,9557,5,-0.7271312994429389,-0.12874262756793878,0.12636225647418872,-0.662372998661689
0.066,9585,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.066,9585,1,-0.34960235380300353,-0.5880056741155035,0.16069854520925336,-0.7114797952092535
0.067,9585,2,-0.7310497746212858,0.048613311316214276,-0.07736086990996423,-0.676179169152536
0.07,9587,3,-0.6978614199660389,0.1079857480027111,0.0507666934035389,-0.706223236372289
0.07,9587,4,-0.738862183604947,-0.036591675792446876,-0.07388195702005314,-0.668793824229947
0.071,9587,5,-0.7271312994429389,-0.12874262756793878,0.12636225647418872,-0.662372998661689
0.101,9620,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.101,9620,1,-0.34960235380300353,-0.5880056741155035,0.16069854520925336,-0.7114797952092535
0.102,9620,2,-0.7310497746212858,0.048613311316214276,-0.07736086990996423,-0.676179169152536
0.105,9624,3,-0.6978614199660389,0.1079857480027111,0.0507666934035389,-0.706223236372289
0.106,9624,4,-0.738862183604947,-0.036591675792446876,-0.07388195702005314,-0.668793824229947
0.106,9624,5,-0.7271312994429389,-0.12874262756793878,0.12636225647418872,-0.662372998661689
0.133,9653,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.133,9653,1,-0.34960235380300353,-0.5880056741155035,0.16069854520925336,-0.7114797952092535
0.133,9653,2,-0.7310497746212858,0.048613311316214276,-0.07736086990996423,-0.676179169152536
0.14,9658,3,-0.6978614199660389,0.1079857480027111,0.0507666934035389,-0.706223236372289
0.141,9658,4,-0.738862183604947,-0.036591675792446876,-0.07388195702005314,-0.668793824229947
