Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,33882,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,33882,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,33882,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,33883,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.002,33883,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.002,33883,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.025,33906,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.025,33906,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.026,33906,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.026,33908,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.026,33908,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.026,33908,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.058,33939,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.058,33939,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.059,33939,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.059,33942,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.059,33942,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.06,33942,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.09,33972,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.09,33972,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.09,33972,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.092,33973,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.093,33973,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.093,33973,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.126,34008,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.127,34008,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.127,34008,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.127,34010,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.128,34010,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.128,34010,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
