Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,22848,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.001,22848,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,22848,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,22851,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.001,22851,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.002,22851,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.034,22882,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.034,22882,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.035,22882,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.035,22885,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.035,22885,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.036,22885,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.066,22915,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.066,22915,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.066,22915,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.067,22917,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.068,22917,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.068,22917,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.103,22951,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.103,22951,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.103,22951,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.104,22953,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.104,22953,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.104,22953,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.133,22982,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.133,22982,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.133,22982,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.135,22983,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.135,22983,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.135,22983,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.168,23018,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.169,23018,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.169,23018,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.171,23019,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.171,23019,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.171,23019,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.2,23049,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.2,23049,1,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.2,23049,2,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.202,23051,3,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.202,23051,4,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.203,23051,5,-0.5,-0.5,0.4999999999999999,-0.5000000000000001
0.243,23089,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
